Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
940;21100385814;"International Journal of Services, Economics and Management";journal;"17530822, 17530830";0,214;Q4;17;34;62;1772;82;62;1,31;52,12;42,22;0;15;Switzerland;Western Europe;"Inderscience";"2007-2024";"Economics and Econometrics (Q4); Strategy and Management (Q4); Tourism, Leisure and Hospitality Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
941;21100244003;"Indian Journal of Finance";journal;"09738711";0,213;Q3;16;48;125;2130;174;125;1,37;44,38;39,13;0;22;India;Asiatic Region;"Associated Management Consultants Pvt. Ltd.";"2010-2024";"Economics, Econometrics and Finance (miscellaneous) (Q3); Finance (Q3)";"Economics, Econometrics and Finance"
942;20126;"Ekonomicky Casopis";journal;"00133035";0,212;Q4;21;16;111;874;72;111;0,75;54,63;50,00;0;8;Slovakia;Eastern Europe;"Institute of Geography of the Slovak Academy of Science";"1978-2024";"Economics and Econometrics (Q4)";"Economics, Econometrics and Finance"
943;21100891789;"International Journal of Economics and Finance Studies";journal;"13098055";0,210;Q3;18;31;205;1588;294;205;1,37;51,23;40,00;0;20;Turkey;Middle East;"Social Sciences Research Society";"2018-2024";"Economics, Econometrics and Finance (miscellaneous) (Q3)";"Economics, Econometrics and Finance"
944;21100881506;"Przestrzen Spoleczna";journal;"20841558, 20847696";0,210;Q3;7;0;64;0;84;59;1,44;0,00;0,00;0;0;Poland;Eastern Europe;"";"2018-2022";"Cultural Studies (Q2); Demography (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Education (Q3); Geography, Planning and Development (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3); Urban Studies (Q3); Social Psychology (Q4)";"Economics, Econometrics and Finance; Psychology; Social Sciences"
945;23554;"Problemas del Desarrollo";journal;"03017036";0,210;Q4;13;24;94;1168;64;94;0,38;48,67;26,32;0;19;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1979-1980, 1992-1993, 2009-2025";"Development (Q3); Economics and Econometrics (Q4)";"Economics, Econometrics and Finance; Social Sciences"
946;21101136847;"International Tax Studies";journal;"25901117";0,209;Q3;3;9;29;134;8;29;0,33;14,89;26,67;0;9;Netherlands;Western Europe;"International Bureau of Fiscal Documentation (IBFD)";"2019-2024";"Economics, Econometrics and Finance (miscellaneous) (Q3); Law (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Economics, Econometrics and Finance; Social Sciences"
947;21100894743;"Asian Economic and Financial Review";journal;"23052147, 22226737";0,208;Q3;21;60;209;3447;376;209;1,27;57,45;36,96;0;34;Pakistan;Asiatic Region;"Asian Economic and Social Society";"2018-2025";"Development (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Business, Management and Accounting (miscellaneous) (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
948;21100237213;"Danube";journal;"18048285, 18046746";0,208;Q3;12;20;57;919;48;57;1,00;45,95;52,00;0;14;Germany;Western Europe;"De Gruyter Open Ltd";"2010-2024";"Economics, Econometrics and Finance (miscellaneous) (Q3); Law (Q3)";"Economics, Econometrics and Finance; Social Sciences"
949;21100373810;"Industrial Engineering and Management Systems";journal;"15987248, 22346473";0,208;Q3;21;40;181;1613;265;181;1,93;40,33;32,97;0;13;South Korea;Asiatic Region;"Korean Institute of Industrial Engineers";"2014-2024";"Economics, Econometrics and Finance (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3)";"Economics, Econometrics and Finance; Social Sciences"
