Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;29431;"Quarterly Journal of Economics";journal;"00335533, 15314650";35,995;Q1;322;48;143;3350;2301;143;14,37;69,79;25,18;35;27;United Kingdom;Western Europe;"Oxford University Press";"1886-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
2;22697;"American Economic Review";journal;"19447981, 00028282";25,102;Q1;380;61;328;4606;4330;326;12,41;75,51;26,26;37;24;United States;Northern America;"American Economic Association";"1973-1975, 1978-2024";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
3;17500;"Journal of Finance";journal;"00221082, 15406261";22,836;Q1;370;97;227;5521;2319;220;10,87;56,92;16,96;21;24;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-2025";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
4;19482;"Econometrica";journal;"00129682, 14680262";21,091;Q1;231;66;264;2702;2074;258;6,73;40,94;11,27;0;20;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974, 1977-1984, 1990-1991, 1994-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
5;24202;"Review of Economic Studies";journal;"00346527, 1467937X";19,166;Q1;177;87;275;5450;2261;275;8,74;62,64;20,75;62;49;United Kingdom;Western Europe;"Oxford University Press";"1933-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
6;24379;"Journal of Financial Economics";journal;"0304405X";17,669;Q1;331;111;500;6352;7626;495;12,47;57,23;17,33;14;40;Netherlands;Western Europe;"Elsevier B.V.";"1974-2025";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
7;24404;"Journal of Political Economy";journal;"00223808, 1537534X";17,087;Q1;225;85;239;5432;1943;232;6,48;63,91;19,75;47;36;United States;Northern America;"University of Chicago Press";"1969, 1973-1974, 1979-1985, 1987-2024";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
8;16161;"Review of Financial Studies";journal;"14657368, 08939454";16,546;Q1;250;88;408;5703;3934;407;7,09;64,81;21,89;20;31;United Kingdom;Western Europe;"Oxford University Press";"1996-2025";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
9;19900191885;"American Economic Journal: Macroeconomics";journal;"19457707, 19457715";13,528;Q1;88;24;154;1475;1154;154;5,87;61,46;21,82;14;17;United States;Northern America;"American Economic Association";"2009-2024";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
10;22951;"Journal of Marketing";journal;"15477185, 00222429";13,394;Q1;296;63;176;4655;3242;154;17,29;73,89;38,51;1;9;United States;Northern America;"American Marketing Association";"1969, 1971, 1973, 1977, 1979-1981, 1995-2025";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
11;27165;"Journal of Economic Literature";journal;"00220515";12,749;Q1;189;16;91;2700;1213;90;11,09;168,75;11,43;9;7;United States;Northern America;"American Economic Association";"1981, 1984, 1986, 1996-2024";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
12;28973;"Journal of Econometrics";journal;"03044076, 18726895";12,168;Q1;198;265;581;12954;5451;554;4,39;48,88;22,42;25;47;Netherlands;Western Europe;"Elsevier B.V.";"1973-2025";"Applied Mathematics (Q1); Economics and Econometrics (Q1)";"Economics, Econometrics and Finance; Mathematics"
13;17700155016;"Handbook of Industrial Organization";book series;"1573448X";10,234;Q1;13;0;17;0;67;17;0,00;0,00;0,00;0;0;Netherlands;Western Europe;"Elsevier B.V.";"1989, 2007, 2021";"Economics and Econometrics (Q1); Finance (Q1); Industrial Relations (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
14;20110;"NBER Macroeconomics Annual";book series;"15372642, 08893365";9,760;Q1;71;16;58;337;167;12;2,95;21,06;0,00;2;1;United States;Northern America;"University of Chicago Press";"1996-2014, 2016, 2018-2024";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
15;20635;"Journal of Management";journal;"01492063, 15571211";8,636;Q1;296;177;259;20457;4972;244;13,08;115,58;35,23;9;48;United States;Northern America;"SAGE Publications Inc.";"1975-2025";"Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
16;19900191767;"American Economic Journal: Applied Economics";journal;"19457790, 19457782";8,597;Q1;117;32;151;2124;995;151;6,12;66,38;28,13;24;19;United States;Northern America;"American Economic Association";"2009-2024";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
17;22899;"Journal of Consumer Research";journal;"00935301, 15375277";8,562;Q1;234;78;171;4762;1646;170;8,97;61,05;41,67;6;9;United Kingdom;Western Europe;"Oxford University Press";"1977-1978, 1984, 1996-2025";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
18;29857;"Journal of Accounting Research";journal;"1475679X, 00218456";8,396;Q1;179;52;127;3715;992;127;7,67;71,44;22,58;0;22;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2025";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
19;28980;"Journal of Economic Perspectives";journal;"08953309";8,262;Q1;239;42;125;2693;1287;125;9,42;64,12;34,71;19;12;United States;Northern America;"American Economic Association";"1992-1994, 1996-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
20;16160;"Review of Finance";journal;"1573692X, 15723097";8,220;Q1;83;61;154;3292;1464;153;9,73;53,97;23,72;10;24;United Kingdom;Western Europe;"Oxford University Press";"2001-2002, 2004-2025";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
21;19700200701;"Annual Review of Economics";journal;"19411383, 19411391";8,094;Q1;84;23;85;2559;942;85;11,82;111,26;14,81;9;15;United States;Northern America;"Annual Reviews Inc.";"2010-2024";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
22;19900191884;"American Economic Journal: Economic Policy";journal;"19457731, 1945774X";7,940;Q1;97;32;186;1979;1279;186;5,53;61,84;18,68;10;17;United States;Northern America;"American Economic Association";"2009-2024";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
23;17555;"Journal of Monetary Economics";journal;"03043932";7,872;Q1;158;113;298;4228;1425;298;3,80;37,42;19,76;44;84;Netherlands;Western Europe;"Elsevier B.V.";"1975-2025";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
24;23714;"Marketing Science";journal;"07322399, 1526548X";7,543;Q1;159;72;175;3075;1193;169;5,94;42,71;24,48;5;9;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1996-2025";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
25;29838;"Journal of Accounting and Economics";journal;"01654101";7,505;Q1;197;67;146;4354;1140;146;7,46;64,99;24,07;2;18;Netherlands;Western Europe;"Elsevier B.V.";"1979-2025";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
26;7500153126;"Journal of the European Economic Association";journal;"15424774, 15424766";7,503;Q1;125;71;217;4249;980;217;3,56;59,85;25,52;27;33;United States;Northern America;"Wiley-Blackwell";"2003-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
27;24204;"Review of Economics and Statistics";journal;"00346535, 15309142";7,425;Q1;211;100;262;4929;1450;262;4,91;49,29;23,17;68;53;United States;Northern America;"MIT Press Journals";"1978-2024";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Social Sciences"
28;22961;"Journal of Marketing Research";journal;"00222437, 15477193";6,961;Q1;212;68;184;4434;1420;181;6,43;65,21;30,77;4;9;United States;Northern America;"American Marketing Association";"1968, 1995-2025";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
29;24385;"Journal of the Academy of Marketing Science";journal;"00920703, 15527824";6,896;Q1;221;126;196;10111;3451;179;14,89;80,25;40,28;3;25;United States;Northern America;"Springer New York";"1973-2025";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
30;100147318;"Entrepreneurship Theory and Practice";journal;"10422587, 15406520";6,876;Q1;212;66;196;6933;3189;179;13,35;105,05;29,71;5;17;United States;Northern America;"SAGE Publications Ltd";"2004-2025";"Business and International Management (Q1); Economics and Econometrics (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
31;24870;"Journal of Human Resources";journal;"15488004, 0022166X";6,588;Q1;129;71;145;4232;869;145;5,80;59,61;40,21;1;44;United States;Northern America;"University of Wisconsin Press";"1976-1982, 1990, 1992-2025";"Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
32;20246;"Journal of Labor Economics";journal;"0734306X, 15375307";6,404;Q1;136;45;132;2432;690;131;5,37;54,04;29,75;32;31;United States;Northern America;"University of Chicago Press";"1985-1989, 1991, 1993, 1995-2024";"Economics and Econometrics (Q1); Industrial Relations (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
33;19700200702;"Annual Review of Financial Economics";journal;"19411367, 19411375";6,062;Q1;49;19;76;1814;527;73;5,21;95,47;27,08;1;11;United States;Northern America;"Annual Reviews Inc.";"2010-2024";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
34;23011;"Economic Journal";journal;"14680297, 00130133";5,371;Q1;194;112;356;7219;1776;356;3,85;64,46;27,60;44;56;United States;Northern America;"Wiley-Blackwell";"1973, 1979-1986, 1988-2024";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
35;19900191883;"American Economic Journal: Microeconomics";journal;"19457669, 19457685";5,225;Q1;58;21;197;1066;478;197;2,09;50,76;19,15;0;1;United States;Northern America;"American Economic Association";"2009-2024";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
36;24392;"Journal of International Business Studies";journal;"00472506, 14786990";5,078;Q1;242;99;267;5925;3167;224;10,23;59,85;32,11;3;37;United Kingdom;Western Europe;"Palgrave Macmillan";"1975-2025";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
37;21100860760;"Critical Finance Review";journal;"21645760, 21645744";4,754;Q1;14;14;50;528;102;49;2,21;37,71;19,44;1;1;United States;Northern America;"Now Publishers Inc";"2017-2024";"Finance (Q1)";"Economics, Econometrics and Finance"
38;21100926577;"Review of Asset Pricing Studies";journal;"20459920, 20459939";4,621;Q1;33;19;67;1219;165;67;2,11;64,16;19,05;1;2;United States;Northern America;"Oxford University Press";"2011-2024";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
39;100147317;"Journal of Supply Chain Management";journal;"15232409, 1745493X";4,562;Q1;119;19;59;1790;919;56;9,76;94,21;32,26;1;5;United States;Northern America;"Wiley-Blackwell";"1999-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1); Information Systems (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance"
40;80370;"Journal of Financial and Quantitative Analysis";journal;"00221090, 17566916";4,465;Q1;156;151;319;9308;1647;319;3,50;61,64;18,48;0;47;United Kingdom;Western Europe;"Cambridge University Press";"1966-2025";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
41;21100255526;"Quantitative Economics";journal;"17597323, 17597331";4,438;Q1;39;27;128;1335;341;127;2,24;49,44;19,70;0;10;United States;Northern America;"Wiley-Blackwell";"2010-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
42;24393;"Journal of International Economics";journal;"18730353, 00221996";4,321;Q1;171;120;287;5349;1390;283;4,15;44,58;20,29;34;80;Netherlands;Western Europe;"Elsevier B.V.";"1971-2025";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
43;29400;"Journal of World Business";journal;"10909516";4,297;Q1;149;39;176;4315;2133;173;10,36;110,64;36,00;0;11;United States;Northern America;"Elsevier Inc.";"1997-2025";"Business and International Management (Q1); Finance (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
44;23672;"RAND Journal of Economics";journal;"17562171, 07416261";4,173;Q1;131;28;85;1380;293;85;3,06;49,29;20,00;3;2;United States;Northern America;"Wiley-Blackwell";"1984-1985, 1987, 1989, 1991-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
45;27162;"Journal of Business and Economic Statistics";journal;"07350015, 15372707";4,171;Q1;122;147;326;6126;1207;304;3,20;41,67;23,80;9;14;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983-2025";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
46;21100926579;"Review of Corporate Finance Studies";journal;"20469136, 20469128";4,122;Q1;28;22;66;1176;218;66;2,88;53,45;20,00;5;4;United States;Northern America;"Oxford University Press";"2012-2025";"Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
47;29009;"Journal of Public Economics";journal;"00472727";4,092;Q1;184;153;451;8650;2310;451;3,51;56,54;26,48;32;104;Netherlands;Western Europe;"Elsevier B.V.";"1972-2025";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
48;4700152266;"Econometrics Journal";journal;"13684221, 1368423X";4,051;Q1;49;27;105;1232;507;99;4,73;45,63;27,27;0;3;United Kingdom;Western Europe;"Oxford University Press";"2006-2024";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
49;28096;"Accounting Review";journal;"00014826, 15587967";4,045;Q1;206;109;359;7044;1960;356;4,35;64,62;27,42;0;25;United States;Northern America;"American Accounting Association";"1996-2025";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
50;14834;"Journal of Development Economics";journal;"03043878";3,945;Q1;182;149;392;8833;2620;392;4,97;59,28;31,65;51;113;Netherlands;Western Europe;"Elsevier B.V.";"1974-2025";"Development (Q1); Economics and Econometrics (Q1)";"Economics, Econometrics and Finance; Social Sciences"
51;29374;"Energy Economics";journal;"01409883, 18736181";3,919;Q1;230;722;1749;46616;27784;1742;15,43;64,57;32,02;30;563;Netherlands;Western Europe;"Elsevier B.V.";"1979-2025";"Economics and Econometrics (Q1); Energy (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Energy"
52;28418;"Brookings Papers on Economic Activity";journal;"00072303, 15334465";3,884;Q1;99;9;41;405;190;38;4,56;45,00;20,00;3;5;United States;Northern America;"Brookings Institution Press";"1990, 1992, 1996-2024";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
53;6400153126;"Theoretical Economics";journal;"15557561, 19336837";3,857;Q1;40;48;155;1811;205;155;1,22;37,73;19,77;0;6;Canada;Northern America;"";"2007-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
54;24406;"Journal of Urban Economics";journal;"10959068, 00941190";3,854;Q1;139;66;174;3421;1124;170;5,18;51,83;23,33;15;49;United States;Northern America;"Academic Press Inc.";"1974-2025";"Economics and Econometrics (Q1); Urban Studies (Q1)";"Economics, Econometrics and Finance; Social Sciences"
55;11600153422;"Review of Environmental Economics and Policy";journal;"17506824, 17506816";3,488;Q1;75;19;64;1277;480;61;6,23;67,21;35,00;3;12;United States;Northern America;"University of Chicago Press";"2008-2024";"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1)";"Economics, Econometrics and Finance; Environmental Science"
56;28981;"Journal of Economic Theory";journal;"10957235, 00220531";3,443;Q1;118;114;431;4784;669;430;1,25;41,96;14,29;3;21;United States;Northern America;"Academic Press Inc.";"1969-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
57;21100217630;"Strategic Entrepreneurship Journal";journal;"19324391, 1932443X";3,370;Q1;77;43;94;4447;735;91;6,72;103,42;33,33;0;12;United States;Northern America;"John Wiley &amp; Sons Inc.";"2011-2025";"Business and International Management (Q1); Economics and Econometrics (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
58;21100861110;"Journal of the Association of Environmental and Resource Economists";journal;"23335963, 23335955";3,361;Q1;45;55;123;2906;480;122;3,05;52,84;30,83;9;40;United States;Northern America;"University of Chicago Press";"2015-2025";"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)";"Economics, Econometrics and Finance; Environmental Science"
59;21100932830;"Journal of Innovation and Knowledge";journal;"2444569X, 25307614";3,341;Q1;70;172;313;15434;6292;313;19,49;89,73;39,22;0;113;Netherlands;Western Europe;"Elsevier B.V.";"2016-2025";"Business and International Management (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
60;15298;"Structural Equation Modeling";journal;"15328007, 10705511";3,321;Q1;132;95;217;4682;1210;217;3,46;49,28;33,33;0;1;United Kingdom;Western Europe;"Psychology Press Ltd";"1994-2025";"Decision Sciences (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Modeling and Simulation (Q1); Sociology and Political Science (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
61;18034;"World Bank Research Observer";journal;"15646971, 02573032";3,281;Q1;81;10;28;1206;273;28;6,94;120,60;39,39;9;10;United Kingdom;Western Europe;"Oxford University Press";"1986-2025";"Development (Q1); Economics and Econometrics (Q1)";"Economics, Econometrics and Finance; Social Sciences"
62;17496;"Journal of Corporate Finance";journal;"09291199";3,246;Q1;146;125;559;8258;5750;555;6,65;66,06;28,95;5;63;Netherlands;Western Europe;"Elsevier B.V.";"1994-2025";"Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
63;23666;"International Economic Review";journal;"14682354, 00206598";3,238;Q1;101;75;160;3939;340;160;1,72;52,52;22,09;10;35;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1979-1985, 1988-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
64;74502;"Financial Management";journal;"00463892";3,226;Q1;85;45;93;2884;494;93;5,65;64,09;23,28;0;9;United States;Northern America;"Wiley-Blackwell";"1996-2025";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
65;28996;"Journal of Financial Intermediation";journal;"10960473, 10429573";3,204;Q1;96;27;106;1724;411;106;4,25;63,85;17,91;1;15;United States;Northern America;"Academic Press Inc.";"1990-2025";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
66;23352;"Journal of Environmental Economics and Management";journal;"10960449, 00950696";3,165;Q1;160;130;301;7830;2090;299;6,12;60,23;29,65;16;105;United States;Northern America;"Academic Press Inc.";"1974-2025";"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1)";"Economics, Econometrics and Finance; Environmental Science"
67;26259;"Review of Economic Dynamics";journal;"10966099, 10942025";3,080;Q1;79;23;212;1014;516;210;2,21;44,09;10,53;3;13;United States;Northern America;"Academic Press Inc.";"1998-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
68;29113;"Contemporary Accounting Research";journal;"08239150, 19113846";3,069;Q1;133;99;267;7068;1584;266;4,98;71,39;32,20;0;26;Canada;Northern America;"John Wiley and Sons Inc";"1984-2025";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
69;19600161806;"Journal of Family Business Strategy";journal;"18778585";3,053;Q1;74;27;93;3103;1041;90;7,89;114,93;45,88;0;11;United Kingdom;Western Europe;"Elsevier Ltd";"2010-2025";"Economics and Econometrics (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
70;23859;"Journal of Business Ethics";journal;"15730697, 01674544";3,039;Q1;277;458;1016;43488;11031;1005;9,84;94,95;43,09;15;198;Netherlands;Western Europe;"Springer Netherlands";"1982-2025";"Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Law (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
71;29104;"Small Business Economics";journal;"15730913, 0921898X";3,025;Q1;180;193;518;18023;5500;512;8,75;93,38;30,84;15;114;Netherlands;Western Europe;"Springer Netherlands";"1989-2025";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
72;21203;"Long Range Planning";journal;"00246301, 18731872";2,909;Q1;134;53;172;5188;1616;166;7,75;97,89;30,77;1;15;United Kingdom;Western Europe;"Elsevier Ltd";"1968-2025";"Finance (Q1); Geography, Planning and Development (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
73;26424;"Resources, Conservation and Recycling";journal;"18790658, 09213449";2,872;Q1;218;505;1790;31979;25171;1776;12,98;63,32;37,11;19;436;Netherlands;Western Europe;"Elsevier B.V.";"1988-2025";"Economics and Econometrics (Q1); Waste Management and Disposal (Q1)";"Economics, Econometrics and Finance; Environmental Science"
74;21101167218;"Sustainable Technology and Entrepreneurship";journal;"27730328";2,840;Q1;20;31;42;2048;639;42;15,21;66,06;37,80;0;26;Netherlands;Western Europe;"Elsevier B.V.";"2022-2025";"Economics and Econometrics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
75;19165;"International Journal of Production Economics";journal;"09255273";2,833;Q1;248;280;871;19631;12219;862;12,32;70,11;30,72;0;140;Netherlands;Western Europe;"Elsevier B.V.";"1991-2025";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Engineering"
76;4000148307;"Family Business Review";journal;"17416248, 08944865";2,718;Q1;135;16;55;2583;570;47;7,47;161,44;40,74;0;0;United States;Northern America;"SAGE Publications Inc.";"1988-2024";"Business, Management and Accounting (miscellaneous) (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
77;28464;"Econometric Theory";journal;"02664666, 14694360";2,674;Q1;83;53;138;2617;191;134;1,25;49,38;23,85;0;4;United Kingdom;Western Europe;"Cambridge University Press";"1985-2025";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Social Sciences"
78;28092;"Economic Geography";journal;"00130095";2,546;Q1;103;17;60;1383;537;60;9,00;81,35;28,21;2;13;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1972, 1974, 1978-1985, 1987-2024";"Economics and Econometrics (Q1); Geography, Planning and Development (Q1)";"Economics, Econometrics and Finance; Social Sciences"
79;24353;"Journal of Economic Surveys";journal;"14676419, 09500804";2,527;Q1;121;99;153;10934;1486;153;8,78;110,44;29,18;19;52;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1987-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
80;21100781509;"Journal of Public Policy and Marketing";journal;"07439156, 15477207";2,525;Q1;94;26;103;2174;530;66;4,52;83,62;43,75;2;10;United States;Northern America;"American Marketing Association";"1995-2025";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
81;19700200703;"Annual Review of Resource Economics";journal;"19411359, 19411340";2,492;Q1;60;0;79;0;578;77;7,14;0,00;0,00;0;0;United States;Northern America;"Annual Reviews Inc.";"2010-2023";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
82;20022;"Economic Policy";journal;"02664658, 14680327";2,489;Q1;94;42;137;957;334;62;1,91;22,79;25,42;5;18;United Kingdom;Western Europe;"Oxford University Press";"1988-2025";"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1)";"Economics, Econometrics and Finance; Environmental Science"
83;21100829907;"American Journal of Health Economics";journal;"23323493, 23323507";2,470;Q1;24;23;60;1086;204;60;1,79;47,22;43,14;1;17;United States;Northern America;"University of Chicago Press";"2015-2024";"Economics, Econometrics and Finance (miscellaneous) (Q1); Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)";"Economics, Econometrics and Finance; Medicine"
84;69623;"American Journal of Agricultural Economics";journal;"14678276, 00029092";2,426;Q1;139;77;237;4968;1396;228;4,88;64,52;28,19;11;55;United States;Northern America;"John Wiley &amp; Sons Inc.";"1919-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Economics and Econometrics (Q1)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance"
85;29170;"Critical Perspectives on Accounting";journal;"10452354, 10959955";2,426;Q1;91;89;177;8632;1393;166;6,62;96,99;36,84;2;40;United States;Northern America;"Academic Press";"1990-2025";"Accounting (Q1); Finance (Q1); Information Systems and Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
86;20749;"European Economic Review";journal;"00142921";2,395;Q1;154;179;573;9905;1899;568;2,64;55,34;28,64;31;113;Netherlands;Western Europe;"Elsevier B.V.";"1969-2025";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
87;110031;"Resources Policy";journal;"03014207";2,381;Q1;138;936;2243;61487;28215;2243;12,43;65,69;36,30;9;816;United Kingdom;Western Europe;"Elsevier Ltd";"1974-2025";"Economics and Econometrics (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Environmental Science; Social Sciences"
88;35048;"Food Policy";journal;"03069192";2,335;Q1;145;129;392;7811;3223;391;6,92;60,55;46,57;8;91;United Kingdom;Western Europe;"Elsevier B.V.";"1975-2025";"Development (Q1); Economics and Econometrics (Q1); Food Science (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
89;144981;"Quantitative Marketing and Economics";journal;"15707156, 1573711X";2,330;Q1;40;15;37;572;64;37;1,17;38,13;22,86;0;2;Netherlands;Western Europe;"Kluwer Academic Publishers";"2005-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
