Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1480;19900193627;eJournal of Tax Research;journal;14482398;0,153;Q4;14;14;33;1692;17;33;0,38;120,86;35,48;0;12;Australia;Pacific Region;Australian School of Business, University of New South Wales;2011-2024;"Accounting (Q4); Economics and Econometrics (Q4); Finance (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
1481;19699;International Journal of Services, Technology and Management;journal;14606720, 1741525X;0,153;Q4;28;5;46;285;31;44;0,43;57,00;38,46;0;1;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2000-2024;"Computer Science Applications (Q4); E-learning (Q4); Engineering (miscellaneous) (Q4); Marketing (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Computer Science; Engineering; Social Sciences"
1482;21100800043;Journal of Hospitality Financial Management;journal;21522790, 10913211;0,153;Q4;15;0;25;0;10;22;0,56;0,00;0,00;0;0;United Kingdom;Western Europe;Taylor and Francis Ltd.;1997-2022;"Finance (Q4); Strategy and Management (Q4); Tourism, Leisure and Hospitality Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
1483;21101210852;Revista Brasileira de Pesquisa em Turismo;journal;19826125;0,153;Q4;5;18;115;972;50;113;0,40;54,00;40,54;0;9;Brazil;Latin America;Associacao Nacional de Pesquisa e Pos-Graduacao em Turismo - ANPTUR;2021-2024;"Geography, Planning and Development (Q4); Social Sciences (miscellaneous) (Q4); Tourism, Leisure and Hospitality Management (Q4)";"Business, Management and Accounting; Social Sciences"
1484;17700156014;Travail, Genre et Societes;journal;12946303;0,153;Q4;18;18;89;438;26;83;0,29;24,33;76,19;0;0;France;Western Europe;Editions La Decouverte;2001-2024;"Gender Studies (Q3); Business and International Management (Q4); Economics and Econometrics (Q4); Organizational Behavior and Human Resource Management (Q4); Sociology and Political Science (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
1485;21101185266;ICSBT International Conference on Smart Business Technologies;conference and proceedings;2184772X;0,153;-;3;17;44;469;27;42;0,61;27,59;27,27;1;5;Portugal;Western Europe;Science and Technology Publications, Lda;2022-2024;"Business, Management and Accounting (miscellaneous); Computer Networks and Communications; Computer Science Applications; Electrical and Electronic Engineering; Information Systems and Management";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
1486;21101073719;AIS Transactions on Replication Research;journal;24733458;0,152;Q4;4;7;24;293;11;24;0,25;41,86;19,05;0;1;United States;Northern America;Association for Information Systems;2019, 2021-2024;"Information Systems (Q4); Management Information Systems (Q4)";"Business, Management and Accounting; Computer Science"
1487;5600155273;Cuadernos de Relaciones Laborales;journal;11318635, 19882572;0,152;Q4;11;25;65;1163;22;62;0,30;46,52;55,81;0;12;Spain;Western Europe;Universidad Complutense Madrid;2016-2024;"Industrial Relations (Q4); Organizational Behavior and Human Resource Management (Q4); Sociology and Political Science (Q4)";"Business, Management and Accounting; Social Sciences"
1488;21100893318;Journal of Digital and Social Media Marketing;journal;20500084, 20500076;0,152;Q4;8;30;104;1008;49;89;0,43;33,60;45,61;0;2;United Kingdom;Western Europe;Henry Stewart Publications;2018-2024;"Communication (Q4); Marketing (Q4)";"Business, Management and Accounting; Social Sciences"
1489;145514;Journal of Textile and Apparel, Technology and Management;journal;15330915;0,152;Q4;32;0;53;0;26;44;0,51;0,00;0,00;0;0;United States;Northern America;North Carolina State University;2000-2002, 2004-2007, 2009-2016, 2018-2023;Management of Technology and Innovation (Q4);Business, Management and Accounting
1490;21101144515;Corporate Law and Governance Review;journal;27071111, 26641542;0,151;Q4;5;51;62;2462;48;55;0,62;48,27;24,76;0;28;Ukraine;Eastern Europe;Virtus Interpress;2019-2025;"Law (Q3); Business and International Management (Q4); Business, Management and Accounting (miscellaneous) (Q4); Finance (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
