Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;17500;Journal of Finance;journal;00221082, 15406261;22,836;Q1;370;97;227;5521;2319;220;10,87;56,92;16,96;21;24;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1946-2025;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
2;24379;Journal of Financial Economics;journal;0304405X;17,669;Q1;331;111;500;6352;7626;495;12,47;57,23;17,33;14;40;Netherlands;Western Europe;Elsevier B.V.;1974-2025;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
3;16161;Review of Financial Studies;journal;14657368, 08939454;16,546;Q1;250;88;408;5703;3934;407;7,09;64,81;21,89;20;31;United Kingdom;Western Europe;Oxford University Press;1996-2025;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
4;20206;Academy of Management Review;journal;3637425;14,402;Q1;320;51;135;5354;2515;126;10,61;104,98;27,27;0;6;United States;Northern America;Academy of Management;1978-1987, 1989-1991, 1996-2025;"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";Business, Management and Accounting
5;19900191906;Academy of Management Annals;journal;19416520, 19416067;13,877;Q1;119;23;64;5065;1312;62;19,20;220,22;26,67;1;1;United States;Northern America;Academy of Management;2010-2025;"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)";Business, Management and Accounting
6;22951;Journal of Marketing;journal;15477185, 00222429;13,394;Q1;296;63;176;4655;3242;154;17,29;73,89;38,51;1;9;United States;Northern America;American Marketing Association;1969, 1971, 1973, 1977, 1979-1981, 1995-2025;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
7;21100863710;Annual Review of Organizational Psychology and Organizational Behavior;journal;23270608;12,191;Q1;86;21;52;2548;1645;49;33,44;121,33;41,38;0;5;United States;Northern America;Annual Reviews Inc.;2014-2025;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)";"Business, Management and Accounting; Psychology"
8;20191;Academy of Management Journal;journal;14273;10,528;Q1;396;59;230;6497;2933;222;10,55;110,12;41,67;5;13;United States;Northern America;Academy of Management;1975-1987, 1989-2025;"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";Business, Management and Accounting
9;17700155016;Handbook of Industrial Organization;book series;1573448X;10,234;Q1;13;0;17;0;67;17;0,00;0,00;0,00;0;0;Netherlands;Western Europe;Elsevier B.V.;1989, 2007, 2021;"Economics and Econometrics (Q1); Finance (Q1); Industrial Relations (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
10;22330;Organizational Research Methods;journal;15527425, 10944281;10,181;Q1;148;43;86;3654;1937;83;30,02;84,98;28,69;0;4;United States;Northern America;SAGE Publications Inc.;1998-2025;"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
11;23157;Strategic Management Journal;journal;10970266, 01432095;10,176;Q1;351;102;303;8922;3971;299;10,83;87,47;27,53;3;34;United Kingdom;Western Europe;John Wiley and Sons Ltd;1980-2025;"Business and International Management (Q1); Strategy and Management (Q1)";Business, Management and Accounting
12;20635;Journal of Management;journal;01492063, 15571211;8,636;Q1;296;177;259;20457;4972;244;13,08;115,58;35,23;9;48;United States;Northern America;SAGE Publications Inc.;1975-2025;"Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
13;22899;Journal of Consumer Research;journal;00935301, 15375277;8,562;Q1;234;78;171;4762;1646;170;8,97;61,05;41,67;6;9;United Kingdom;Western Europe;Oxford University Press;1977-1978, 1984, 1996-2025;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
14;29857;Journal of Accounting Research;journal;1475679X, 00218456;8,396;Q1;179;52;127;3715;992;127;7,67;71,44;22,58;0;22;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1996-2025;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
15;16160;Review of Finance;journal;1573692X, 15723097;8,220;Q1;83;61;154;3292;1464;153;9,73;53,97;23,72;10;24;United Kingdom;Western Europe;Oxford University Press;2001-2002, 2004-2025;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
16;22324;Organization Science;journal;15265455, 10477039;8,026;Q1;294;103;278;12206;2394;278;7,67;118,50;38,46;2;34;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;1996-2025;"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";Business, Management and Accounting
17;23714;Marketing Science;journal;07322399, 1526548X;7,543;Q1;159;72;175;3075;1193;169;5,94;42,71;24,48;5;9;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;1996-2025;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
18;29838;Journal of Accounting and Economics;journal;1654101;7,505;Q1;197;67;146;4354;1140;146;7,46;64,99;24,07;2;18;Netherlands;Western Europe;Elsevier B.V.;1979-2025;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
19;22961;Journal of Marketing Research;journal;00222437, 15477193;6,961;Q1;212;68;184;4434;1420;181;6,43;65,21;30,77;4;9;United States;Northern America;American Marketing Association;1968, 1995-2025;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
20;24385;Journal of the Academy of Marketing Science;journal;00920703, 15527824;6,896;Q1;221;126;196;10111;3451;179;14,89;80,25;40,28;3;25;United States;Northern America;Springer New York;1973-2025;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
21;100147318;Entrepreneurship Theory and Practice;journal;10422587, 15406520;6,876;Q1;212;66;196;6933;3189;179;13,35;105,05;29,71;5;17;United States;Northern America;SAGE Publications Ltd;2004-2025;"Business and International Management (Q1); Economics and Econometrics (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
22;21101186818;Organization Theory;journal;26317877;6,872;Q1;33;16;77;1467;851;75;8,00;91,69;48,57;0;2;United Kingdom;Western Europe;SAGE Publications Ltd;2020-2024;"Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";Business, Management and Accounting
23;24870;Journal of Human Resources;journal;15488004, 0022166X;6,588;Q1;129;71;145;4232;869;145;5,80;59,61;40,21;1;44;United States;Northern America;University of Wisconsin Press;1976-1982, 1990, 1992-2025;"Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
24;20246;Journal of Labor Economics;journal;0734306X, 15375307;6,404;Q1;136;45;132;2432;690;131;5,37;54,04;29,75;32;31;United States;Northern America;University of Chicago Press;1985-1989, 1991, 1993, 1995-2024;"Economics and Econometrics (Q1); Industrial Relations (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
25;15631;International Journal of Information Management;journal;2684012;6,260;Q1;196;85;334;9424;11357;313;33,30;110,87;31,92;2;14;United Kingdom;Western Europe;Elsevier Ltd;1970, 1986-2025;"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
26;23860;Journal of Business Venturing;journal;8839026;6,234;Q1;235;52;155;6248;1970;155;10,59;120,15;29,88;1;22;United States;Northern America;Elsevier Inc.;1985-2025;"Business and International Management (Q1); Management of Technology and Innovation (Q1)";Business, Management and Accounting
27;144974;Journal of Service Research;journal;10946705, 15527379;6,011;Q1;156;71;116;5435;1873;105;11,35;76,55;41,94;0;14;United States;Northern America;SAGE Publications Inc.;1998-2025;"Information Systems (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
28;12963;Review of Accounting Studies;journal;15737136, 13806653;5,817;Q1;107;119;150;7735;1478;150;7,37;65,00;30,42;9;35;United States;Northern America;Springer New York;1996-2025;"Accounting (Q1); Business, Management and Accounting (miscellaneous) (Q1)";Business, Management and Accounting
29;21307;Management Science;journal;00251909, 15265501;5,720;Q1;303;446;1214;28122;8863;1206;6,83;63,05;27,62;55;109;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;1969-2025;"Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
30;20650;Journal of Management Studies;journal;00222380, 14676486;5,465;Q1;233;201;249;20407;3279;213;10,13;101,53;34,94;4;49;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1964-2025;"Business and International Management (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";Business, Management and Accounting
31;12817;Personnel Psychology;journal;00315826, 17446570;5,414;Q1;175;49;94;5822;983;91;9,85;118,82;38,18;3;10;United States;Northern America;Wiley-Blackwell;1948-2025;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Psychology"
32;21149;Leadership Quarterly;journal;10489843;5,393;Q1;202;45;139;4953;1772;130;10,97;110,07;30,47;2;12;United States;Northern America;Elsevier Inc.;1990-2025;"Applied Psychology (Q1); Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Psychology; Social Sciences"
33;11800154593;Strategic Organization;journal;1741315X, 14761270;5,210;Q1;80;56;131;4732;1149;120;5,64;84,50;24,43;0;9;United Kingdom;Western Europe;SAGE Publications Ltd;2003-2025;"Business and International Management (Q1); Education (Q1); Industrial Relations (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Social Sciences"
34;24392;Journal of International Business Studies;journal;00472506, 14786990;5,078;Q1;242;99;267;5925;3167;224;10,23;59,85;32,11;3;37;United Kingdom;Western Europe;Palgrave Macmillan;1975-2025;"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
35;4700152287;Academy of Management Perspectives;journal;15589080;5,063;Q1;165;18;92;1948;877;89;6,06;108,22;38,46;4;9;United States;Northern America;Academy of Management;2006-2024;"Business and International Management (Q1); Marketing (Q1); Strategy and Management (Q1)";Business, Management and Accounting
36;28312;Organization Studies;journal;17413044, 01708406;5,032;Q1;187;77;271;6449;2100;243;6,03;83,75;41,40;3;24;United Kingdom;Western Europe;SAGE Publications Ltd;1980-2025;"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";Business, Management and Accounting
37;39139;International Organization;journal;15315088, 00208183;4,977;Q1;168;28;102;2605;1095;100;5,05;93,04;21,82;0;7;United Kingdom;Western Europe;Cambridge University Press;1947-2025;"Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
38;15574;Information Systems Research;journal;15265536, 10477047;4,850;Q1;192;102;236;8480;2301;232;7,95;83,14;29,08;1;22;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;1990-2024;"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
39;100147317;Journal of Supply Chain Management;journal;15232409, 1745493X;4,562;Q1;119;19;59;1790;919;56;9,76;94,21;32,26;1;5;United States;Northern America;Wiley-Blackwell;1999-2025;"Economics, Econometrics and Finance (miscellaneous) (Q1); Information Systems (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance"
40;28181;Journal of Consumer Psychology;journal;15327663, 10577408;4,547;Q1;147;73;160;4707;1062;154;5,84;64,48;47,92;1;5;United States;Northern America;"John Wiley &amp; Sons Inc.";1992-2025;"Applied Psychology (Q1); Marketing (Q1)";"Business, Management and Accounting; Psychology"
41;19169;Journal of Operations Management;journal;18731317, 02726963;4,520;Q1;228;61;137;5247;1582;122;11,05;86,02;28,66;0;20;Netherlands;Western Europe;"John Wiley &amp; Sons Inc.";1980-1991, 1993-2025;"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
42;21789;Manufacturing and Service Operations Management;journal;15265498, 15234614;4,486;Q1;116;107;453;5816;2799;448;5,69;54,36;21,33;0;29;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;1999-2025;"Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
43;12402;MIS Quarterly: Management Information Systems;journal;02767783, 21629730;4,486;Q1;283;64;204;5987;2041;203;5,80;93,55;29,32;0;18;United States;Northern America;Management Information Systems Research Center;1980-2024;"Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
44;80370;Journal of Financial and Quantitative Analysis;journal;00221090, 17566916;4,465;Q1;156;151;319;9308;1647;319;3,50;61,64;18,48;0;47;United Kingdom;Western Europe;Cambridge University Press;1966-2025;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
45;28179;Journal of Advertising;journal;15577805, 00913367;4,455;Q1;140;62;140;4339;1644;118;9,86;69,98;42,26;2;3;United States;Northern America;M.E. Sharpe Inc.;1972-2025;"Business and International Management (Q1); Communication (Q1); Marketing (Q1)";"Business, Management and Accounting; Social Sciences"
46;29400;Journal of World Business;journal;10909516;4,297;Q1;149;39;176;4315;2133;173;10,36;110,64;36,00;0;11;United States;Northern America;Elsevier Inc.;1997-2025;"Business and International Management (Q1); Finance (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
47;22990;Journal of Retailing;journal;224359;4,204;Q1;168;45;140;2849;1638;126;11,30;63,31;39,37;0;2;United Kingdom;Western Europe;Elsevier B.V.;1993-2025;Marketing (Q1);Business, Management and Accounting
48;27069;Human Relations;journal;00187267, 1741282X;4,148;Q1;171;94;231;8554;2131;225;8,81;91,00;52,38;7;34;United Kingdom;Western Europe;SAGE Publications Ltd;1947-2025;"Arts and Humanities (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Social Sciences (miscellaneous) (Q1); Strategy and Management (Q1)";"Arts and Humanities; Business, Management and Accounting; Social Sciences"
49;16547;Tourism Management;journal;02615177, 18793193;4,146;Q1;278;120;452;9733;8282;452;16,88;81,11;43,43;2;49;United Kingdom;Western Europe;Elsevier Ltd;1982-2025;"Development (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1); Transportation (Q1)";"Business, Management and Accounting; Social Sciences"
50;21100926579;Review of Corporate Finance Studies;journal;20469136, 20469128;4,122;Q1;28;22;66;1176;218;66;2,88;53,45;20,00;5;4;United States;Northern America;Oxford University Press;2012-2025;"Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
51;20037;International Journal of Management Reviews;journal;14608545, 14682370;4,054;Q1;142;39;88;5960;1516;85;15,76;152,82;38,33;1;5;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1999-2002, 2004-2025;"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
52;28096;Accounting Review;journal;00014826, 15587967;4,045;Q1;206;109;359;7044;1960;356;4,35;64,62;27,42;0;25;United States;Northern America;American Accounting Association;1996-2025;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
53;24719;Human Resource Management Review;journal;10534822;3,934;Q1;132;24;140;3471;2439;138;17,75;144,63;47,44;2;5;United Kingdom;Western Europe;Elsevier Ltd;1991-2025;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Psychology"
54;28418;Brookings Papers on Economic Activity;journal;00072303, 15334465;3,884;Q1;99;9;41;405;190;38;4,56;45,00;20,00;3;5;United States;Northern America;Brookings Institution Press;1990, 1992, 1996-2024;"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
55;22833;International Journal of Research in Marketing;journal;1678116;3,869;Q1;128;75;178;5192;1842;173;10,56;69,23;40,45;1;11;Netherlands;Western Europe;Elsevier B.V.;1984-2025;Marketing (Q1);Business, Management and Accounting
56;30020;Journal of Organizational Behavior;journal;10991379, 08943796;3,862;Q1;230;89;229;9166;2128;220;8,35;102,99;52,98;1;17;United Kingdom;Western Europe;John Wiley and Sons Ltd;1981-1982, 1984-2025;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Psychology (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Psychology; Social Sciences"
57;21101041823;Strategy Science;journal;23332077, 23332050;3,806;Q1;30;28;87;2600;409;82;3,14;92,86;21,31;0;7;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;2016-2024;"Business and International Management (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
58;12396;Journal of Strategic Information Systems;journal;9638687;3,765;Q1;114;27;68;2121;834;51;11,93;78,56;40,35;1;6;Netherlands;Western Europe;Elsevier B.V.;1991-2025;"Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
59;24718;Human Resource Management;journal;00904848, 1099050X;3,663;Q1;122;56;140;5546;1570;139;11,57;99,04;41,21;1;17;United States;Northern America;Wiley-Liss Inc.;1961-2025;"Applied Psychology (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Psychology"
60;15700;Journal of Management Information Systems;journal;1557928X, 07421222;3,652;Q1;177;46;136;3493;1170;125;6,50;75,93;24,19;0;6;United States;Northern America;M.E. Sharpe Inc.;1987-2024;"Computer Science Applications (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
61;23406;Business Strategy and the Environment;journal;10990836, 09644733;3,609;Q1;173;474;832;47004;17347;823;19,37;99,16;36,91;11;400;United Kingdom;Western Europe;John Wiley and Sons Ltd;1992-2025;"Business and International Management (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Environmental Science; Social Sciences"
62;27679;Journal of Product Innovation Management;journal;15405885, 07376782;3,598;Q1;180;61;118;6509;1785;101;8,96;106,70;29,27;0;36;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1984-2025;"Engineering (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Engineering"
63;20550;Journal of Business Research;journal;1482963;3,499;Q1;292;497;2789;48021;46180;2754;13,27;96,62;40,07;4;113;United States;Northern America;Elsevier Inc.;1973-2025;Marketing (Q1);Business, Management and Accounting
64;14014;Psychology and Marketing;journal;07426046, 15206793;3,497;Q1;154;192;456;15887;6030;453;12,68;82,74;47,56;0;17;United States;Northern America;Wiley-Liss Inc.;1984-2025;"Applied Psychology (Q1); Marketing (Q1)";"Business, Management and Accounting; Psychology"
65;14704;Technological Forecasting and Social Change;journal;401625;3,472;Q1;209;779;2210;71614;41185;2185;17,45;91,93;36,75;18;509;United States;Northern America;Elsevier Inc.;1970-2025;"Applied Psychology (Q1); Business and International Management (Q1); Management of Technology and Innovation (Q1)";"Business, Management and Accounting; Psychology"
66;21100409642;Global Strategy Journal;journal;20425805;3,471;Q1;53;30;92;3184;936;91;7,45;106,13;30,49;0;11;United States;Northern America;"John Wiley &amp; Sons Inc.";2014-2025;"Business and International Management (Q1); Strategy and Management (Q1)";Business, Management and Accounting
67;15074;European Journal of Information Systems;journal;0960085X, 14769344;3,459;Q1;139;73;130;7654;1745;120;12,44;104,85;25,33;0;7;United Kingdom;Western Europe;Taylor and Francis Ltd.;1995-2025;"Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
68;15823;Journal of Public Administration Research and Theory;journal;14779803, 10531858;3,454;Q1;147;41;142;3581;1296;142;7,17;87,34;41,18;8;19;United Kingdom;Western Europe;Oxford University Press;1991-2025;"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
69;22900;Research Policy;journal;487333;3,443;Q1;301;138;520;12107;5916;514;10,01;87,73;31,27;23;72;Netherlands;Western Europe;Elsevier B.V.;1971-2025;"Engineering (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Engineering"
70;22992;Journal of Retailing and Consumer Services;journal;9696989;3,439;Q1;167;465;1121;40724;18866;1114;16,23;87,58;40,96;5;91;United Kingdom;Western Europe;Elsevier Ltd;1994-2025;Marketing (Q1);Business, Management and Accounting
71;21100405117;Organizational Psychology Review;journal;20413866, 20413874;3,434;Q1;47;30;53;3158;555;51;8,22;105,27;44,58;1;3;United Kingdom;Western Europe;SAGE Publications Inc.;2012-2025;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)";"Business, Management and Accounting; Psychology"
72;21100217630;Strategic Entrepreneurship Journal;journal;19324391, 1932443X;3,370;Q1;77;43;94;4447;735;91;6,72;103,42;33,33;0;12;United States;Northern America;"John Wiley &amp; Sons Inc.";2011-2025;"Business and International Management (Q1); Economics and Econometrics (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
73;22928;Journal of Interactive Marketing;journal;10949968, 15206653;3,366;Q1;135;25;92;1716;1098;91;7,36;68,64;28,99;0;3;United States;Northern America;SAGE Publications Inc.;1997-2025;"Business and International Management (Q1); Marketing (Q1)";Business, Management and Accounting
74;22405;Production and Operations Management;journal;10591478, 19375956;3,364;Q1;150;223;734;13839;5276;731;6,36;62,06;31,17;1;77;United States;Northern America;SAGE Publications Inc.;1992-2025;"Industrial and Manufacturing Engineering (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Decision Sciences; Engineering"
75;19600157901;Journal of Service Management;journal;17575818;3,348;Q1;96;49;122;4262;1787;119;13,38;86,98;49,66;0;12;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2009-2025;"Business, Management and Accounting (miscellaneous) (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)";Business, Management and Accounting
76;21100932830;Journal of Innovation and Knowledge;journal;2444569X, 25307614;3,341;Q1;70;172;313;15434;6292;313;19,49;89,73;39,22;0;113;Netherlands;Western Europe;Elsevier B.V.;2016-2025;"Business and International Management (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
77;19700201414;Journal of Research in Interactive Marketing;journal;20407122;3,336;Q1;69;98;130;7157;2355;128;15,81;73,03;48,43;0;7;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2010-2025;Marketing (Q1);Business, Management and Accounting
78;14726;Technovation;journal;1664972;3,308;Q1;173;167;461;17387;7307;456;14,57;104,11;38,89;3;80;United Kingdom;Western Europe;Elsevier Ltd;1981-2025;"Engineering (miscellaneous) (Q1); Management of Technology and Innovation (Q1)";"Business, Management and Accounting; Engineering"
79;17496;Journal of Corporate Finance;journal;9291199;3,246;Q1;146;125;559;8258;5750;555;6,65;66,06;28,95;5;63;Netherlands;Western Europe;Elsevier B.V.;1994-2025;"Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
80;74502;Financial Management;journal;463892;3,226;Q1;85;45;93;2884;494;93;5,65;64,09;23,28;0;9;United States;Northern America;Wiley-Blackwell;1996-2025;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
81;19700183600;Journal of Hospitality Marketing and Management;journal;19368631, 19368623;3,212;Q1;86;45;140;4032;2259;135;16,20;89,60;43,61;0;11;United States;Northern America;Routledge;2009-2025;"Management Information Systems (Q1); Marketing (Q1); Tourism, Leisure and Hospitality Management (Q1)";Business, Management and Accounting
82;21101146363;Academy of Management Discoveries;journal;21681007;3,207;Q1;30;31;92;2305;430;81;5,03;74,35;50,59;2;7;United States;Northern America;Academy of Management;2019-2024;"Business and International Management (Q1); Industrial Relations (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";Business, Management and Accounting
83;144742;International Journal of Contemporary Hospitality Management;journal;9596119;3,141;Q1;139;229;608;16220;8509;599;13,49;70,83;40,76;0;77;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;1989-2025;Tourism, Leisure and Hospitality Management (Q1);Business, Management and Accounting
84;19680;ILR Review;journal;00197939, 2162271X;3,136;Q1;95;36;128;1885;632;124;4,82;52,36;36,47;5;28;United States;Northern America;SAGE Publications Ltd;1978, 1981-1982, 1984, 1996-2025;"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";Business, Management and Accounting
85;20143;Business and Society;journal;00076503, 15524205;3,113;Q1;106;98;182;8178;1918;157;8,87;83,45;46,67;1;43;United Kingdom;Western Europe;SAGE Publications Ltd;1960-1978, 1980-1981, 1983-2025;"Business, Management and Accounting (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";"Business, Management and Accounting; Social Sciences"
86;20639;Journal of Management Inquiry;journal;15526542, 10564926;3,103;Q1;82;45;95;2823;554;81;5,44;62,73;40,63;1;5;United States;Northern America;SAGE Publications Inc.;1992-2025;"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";Business, Management and Accounting
87;14813;Journal of Travel Research;journal;15526763, 00472875;3,100;Q1;181;209;330;19857;4794;319;14,08;95,01;46,17;1;77;United Kingdom;Western Europe;SAGE Publications Ltd;1969-2025;"Geography, Planning and Development (Q1); Tourism, Leisure and Hospitality Management (Q1); Transportation (Q1)";"Business, Management and Accounting; Social Sciences"
