"metric","model","preprocessing","value","val_n","train_n","n_ensembles","alpha","lambda.min.ratio","mtry","num.trees","max.depth","min.bucket","min_child_weight","max_depth","subsample","colsample_bytree","eta","gamma","nrounds","early_stop","regularizer_l1","regularizer_l2","droprate","lr","size_of_batch","number_of_epochs","rec_droprate"
"rmse","rf","zscore_standardization",0.591091461544588,60,120,0,NA,NA,"0.1, 0.9","300, 1500","3, 16","1, 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mae","rf","zscore_standardization",0.448595054970294,60,120,0,NA,NA,"0.1, 0.9","300, 1500","3, 16","1, 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mphe","rf","zscore_standardization",0.142025738365342,60,120,0,NA,NA,"0.1, 0.9","300, 1500","3, 16","1, 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mpe","rf","zscore_standardization",0.224297527485147,60,120,0,NA,NA,"0.1, 0.9","300, 1500","3, 16","1, 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mape","rf","zscore_standardization",0.0781145075419003,60,120,0,NA,NA,"0.1, 0.9","300, 1500","3, 16","1, 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rss","rf","minmax_scaling",0.585013025539641,90,120,0,NA,NA,"0.1, 0.9","300, 1500","3, 16","1, 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rmse","rf","minmax_scaling",0.635574812529307,90,120,0,NA,NA,"0.1, 0.9","300, 1500","3, 16","1, 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mae","rf","minmax_scaling",0.464279244641157,90,120,0,NA,NA,"0.1, 0.9","300, 1500","3, 16","1, 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mphe","rf","minmax_scaling",0.152421713719705,90,120,0,NA,NA,"0.1, 0.9","300, 1500","3, 16","1, 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mpe","rf","minmax_scaling",0.232139622320579,90,120,0,NA,NA,"0.1, 0.9","300, 1500","3, 16","1, 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mape","rf","minmax_scaling",0.0824241865761653,90,120,0,NA,NA,"0.1, 0.9","300, 1500","3, 16","1, 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rss","xgb","zscore_standardization",0.595809529758903,60,120,0,"0, 2",NA,NA,NA,NA,NA,"2, 10","2, 5","0.6, 0.95","0.6, 0.95","0.05, 0.2","0, 5","150, 800",30,NA,NA,NA,NA,NA,NA,NA
"rmse","xgb","zscore_standardization",0.626341015341065,60,120,0,"0, 2",NA,NA,NA,NA,NA,"2, 10","2, 5","0.6, 0.95","0.6, 0.95","0.05, 0.2","0, 5","150, 800",30,NA,NA,NA,NA,NA,NA,NA
"mae","xgb","zscore_standardization",0.503541048012535,60,120,0,"0, 2",NA,NA,NA,NA,NA,"2, 10","2, 5","0.6, 0.95","0.6, 0.95","0.05, 0.2","0, 5","150, 800",30,NA,NA,NA,NA,NA,NA,NA
"mphe","xgb","zscore_standardization",0.162239349854387,60,120,0,"0, 2",NA,NA,NA,NA,NA,"2, 10","2, 5","0.6, 0.95","0.6, 0.95","0.05, 0.2","0, 5","150, 800",30,NA,NA,NA,NA,NA,NA,NA
"mpe","xgb","zscore_standardization",0.251770524006267,60,120,0,"0, 2",NA,NA,NA,NA,NA,"2, 10","2, 5","0.6, 0.95","0.6, 0.95","0.05, 0.2","0, 5","150, 800",30,NA,NA,NA,NA,NA,NA,NA
"mape","xgb","zscore_standardization",0.0841813767400084,60,120,0,"0, 2",NA,NA,NA,NA,NA,"2, 10","2, 5","0.6, 0.95","0.6, 0.95","0.05, 0.2","0, 5","150, 800",30,NA,NA,NA,NA,NA,NA,NA
"rss","xgb","minmax_scaling",0.554031742716025,90,120,0,"0, 2",NA,NA,NA,NA,NA,"2, 10","2, 5","0.6, 0.95","0.6, 0.95","0.05, 0.2","0, 5","150, 800",30,NA,NA,NA,NA,NA,NA,NA
"rmse","xgb","minmax_scaling",0.658872557639731,90,120,0,"0, 2",NA,NA,NA,NA,NA,"2, 10","2, 5","0.6, 0.95","0.6, 0.95","0.05, 0.2","0, 5","150, 800",30,NA,NA,NA,NA,NA,NA,NA
"mae","xgb","minmax_scaling",0.526983510658736,90,120,0,"0, 2",NA,NA,NA,NA,NA,"2, 10","2, 5","0.6, 0.95","0.6, 0.95","0.05, 0.2","0, 5","150, 800",30,NA,NA,NA,NA,NA,NA,NA
"mphe","xgb","minmax_scaling",0.175939363123558,90,120,0,"0, 2",NA,NA,NA,NA,NA,"2, 10","2, 5","0.6, 0.95","0.6, 0.95","0.05, 0.2","0, 5","150, 800",30,NA,NA,NA,NA,NA,NA,NA
"mpe","xgb","minmax_scaling",0.263491755329368,90,120,0,"0, 2",NA,NA,NA,NA,NA,"2, 10","2, 5","0.6, 0.95","0.6, 0.95","0.05, 0.2","0, 5","150, 800",30,NA,NA,NA,NA,NA,NA,NA
"mape","xgb","minmax_scaling",0.0870577449231468,90,120,0,"0, 2",NA,NA,NA,NA,NA,"2, 10","2, 5","0.6, 0.95","0.6, 0.95","0.05, 0.2","0, 5","150, 800",30,NA,NA,NA,NA,NA,NA,NA
"rss","nn1","zscore_standardization",-0.026618210142586,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0, 1e-06","2e-04, 0.002","0.1, 0.25","8e-04, 0.002","32, 32","50, 150",NA
"rmse","nn1","zscore_standardization",0.998210879333568,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0, 1e-06","2e-04, 0.002","0.1, 0.25","8e-04, 0.002","32, 32","50, 150",NA
"mae","nn1","zscore_standardization",0.757162839628754,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0, 1e-06","2e-04, 0.002","0.1, 0.25","8e-04, 0.002","32, 32","50, 150",NA
"mphe","nn1","zscore_standardization",0.332567313286192,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0, 1e-06","2e-04, 0.002","0.1, 0.25","8e-04, 0.002","32, 32","50, 150",NA
"mpe","nn1","zscore_standardization",0.378581419814377,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0, 1e-06","2e-04, 0.002","0.1, 0.25","8e-04, 0.002","32, 32","50, 150",NA
"mape","nn1","zscore_standardization",0.128986454135196,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0, 1e-06","2e-04, 0.002","0.1, 0.25","8e-04, 0.002","32, 32","50, 150",NA
"rss","nn1","minmax_scaling",0.25566551475088,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0, 1e-06","2e-04, 0.002","0.1, 0.25","8e-04, 0.002","32, 32","50, 150",NA
"rmse","nn1","minmax_scaling",0.849966653184554,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0, 1e-06","2e-04, 0.002","0.1, 0.25","8e-04, 0.002","32, 32","50, 150",NA
"mae","nn1","minmax_scaling",0.555256155564453,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0, 1e-06","2e-04, 0.002","0.1, 0.25","8e-04, 0.002","32, 32","50, 150",NA
"mphe","nn1","minmax_scaling",0.209577995106726,60,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"0, 1e-06","2e-04, 0.002","0.1, 0.25","8e-04, 0.002","32, 32","50, 150",NA
